"Year","Release Type","Site","Installation","Nuclide Type","Activity"
"2015","Atmospheric","Beaver Valley","Beaver Valley 2","Beta/Gamma","2.533400e-4"
"2010","Liquid","Vogtle","Vogtle 2","H-3","2.748802e+2"
"2010","Atmospheric","Zaporozhye","Zaporizhzhia 5","Beta/Gamma","1.571500e-3"
"2017","Atmospheric","Forsmark","Forsmark 2","Iodine","1.806113e-3"
"2015","Liquid","Almaraz","Aggregated Record","Particulates","5.380000e+0"
"2008","Atmospheric","Rovno","Drain valve units 3-4","Noble Gases","8.307000e+3"
"2016","Atmospheric","Shearon Harris","Aggregated Record","Noble Gases","1.483356e-1"
"2020","Atmospheric","Wolsong","Wolsong 2","Noble Gases","2.115000e+3"
"2016","Atmospheric","Hartlepool","Aggregated Record","H-3","7.670000e+2"
"1990","Liquid","Cooper","Aggregated Record","H-3","1.875900e+2"
"2019","Atmospheric","Limerick","Aggregated Record","C-14","3.387000e+1"
"2012","Atmospheric","Tricastin","Aggregated Record","Iodine","3.090000e-2"
"2012","Liquid","Salem","Salem 2","Beta/Gamma","9.438240e-3"
"2018","Atmospheric","Rovno","Rovno-3","C-14","0.000000e+0"
"2012","Atmospheric","Zaporozhye","Zaporizhzhia 2","Alpha","0.000000e+0"
"2012","Atmospheric","Cattenom","Aggregated Record","Noble Gases","1.390100e+3"
"2011","Atmospheric","Fort Calhoun","Aggregated Record","C-14","6.802000e-1"
"2008","Atmospheric","Paluel","Aggregated Record","C-14","8.850000e+2"
"1995","Atmospheric","Bruce","Bruce B 5-8","Iodine","1.200000e-1"
"2020","Liquid","Vogtle","Vogtle 2","H-3","1.130814e+3"
"2018","Liquid","Zaporozhye","Zaporizhzhia 3","H-3","0.000000e+0"
"1990","Atmospheric","Ignalina","Aggregated Record","Noble Gases","2.370000e+6"
"2018","Atmospheric","R.E. Ginna","Aggregated Record","Noble Gases","1.317200e+0"
"2007","Atmospheric","Sizewell B","Sizewell B","Particulates","5.000000e-3"
"2010","Atmospheric","Civaux","Aggregated Record","C-14","5.160000e+2"
