"Year","Release Type","Site","Installation","Nuclide Type","Activity"
"2008","Atmospheric","Hanbit","Hanbit 2","C-14","0.000000e+0"
"2007","Atmospheric","Belleville","Aggregated Record","Noble Gases","5.362500e+2"
"2021","Liquid","Neckarwestheim","Neckarwestheim 2 (GKN-2)","Alpha","0.000000e+0"
"2024","Atmospheric","Darlington","Aggregated Record","H-3","2.000000e+5"
"2009","Atmospheric","Zaporozhye","Zaporizhzhia 5","Alpha","0.000000e+0"
"2008","Liquid","Hanbit","Hanbit 1","Beta/Gamma","0.000000e+0"
"2019","Atmospheric","Zaporozhye","Drain valve 1","Noble Gases","7.009000e+3"
"1986","Atmospheric","Davis Besse","Aggregated Record","H-3","3.811000e+2"
"2020","Atmospheric","Smolensk","Aggregated Record","Noble Gases","1.728000e+5"
"1988","Atmospheric","Olkiluoto","Aggregated Record","Iodine","2.500000e-3"
"2013","Atmospheric","Perry","Aggregated Record","Noble Gases","7.598548e+1"
"2012","Atmospheric","St. Lucie","St. Lucie 1","Noble Gases","3.319128e+0"
"2011","Atmospheric","South Texas","South Texas 2","Iodine","2.123491e-5"
"2008","Atmospheric","Tokai","Tokai-2","Noble Gases","0.000000e+0"
"2012","Liquid","Khmelnitski","Khmelnitski 2","H-3","0.000000e+0"
"1985","Atmospheric","Grand Gulf","Aggregated Record","H-3","7.807000e+1"
"2010","Atmospheric","Oskarshamn","Oskarshamn 1","Iodine","1.429881e-3"
"2022","Atmospheric","Fukushima-Daiichi","Aggregated Record","H-3","5.000000e+1"
"2017","Liquid","Zaporozhye","Zaporizhzhia 1 ","Alpha","0.000000e+0"
"1985","Atmospheric","Pickering","Pickering 5-8","Noble Gases","1.750000e+5"
"2005","Liquid","St. Laurent","Aggregated Record","C-14","2.000000e+1"
"2017","Atmospheric","Kozloduy","Auxiliary building","Noble Gases","3.366900e+1"
"2009","Liquid","Peach Bottom","Aggregated Record","Beta/Gamma","1.270972e-1"
"2020","Atmospheric","Lasalle","Aggregated Record","Noble Gases","2.500166e+2"
"2009","Atmospheric","Davis Besse","Aggregated Record","Iodine","1.594210e-4"
"2004","Liquid","St. Laurent","Aggregated Record","Beta/Gamma","3.493000e-1"
"2016","Liquid","River Bend","Aggregated Record","Beta/Gamma","4.950060e-3"
"2018","Atmospheric","Kori","Shin-Kori 3","Beta/Gamma","2.410000e-5"
"1982","Liquid","Sellafield","Aggregated Record","Beta/Gamma","3.990000e+6"
"2015","Atmospheric","Sizewell B","Sizewell B","H-3","6.940000e+2"
"2011","Liquid","Bruce","Bruce B 5-8","Particulates","2.380000e+0"
"2012","Liquid","Zaporozhye","Zaporizhzhia 1 ","Other","0.000000e+0"
"1990","Liquid","Hope Creek","Aggregated Record","H-3","4.366000e+2"
"2010","Atmospheric","Davis Besse","Aggregated Record","C-14","7.320000e+0"
"2016","Atmospheric","Cattenom","Aggregated Record","Noble Gases","7.262130e+2"
"2019","Atmospheric","Mochovce","Aggregated Record","H-3","4.500000e+2"
"2015","Atmospheric","Chapelcross","Aggregated Record","H-3","2.580000e+4"
"1996","Atmospheric","Embalse","Aggregated Record","Noble Gases","1.800000e+5"
"2010","Atmospheric","Zaporozhye","Zaporizhzhia 4","Iodine","8.490000e-3"
"2017","Atmospheric","Millstone","Millstone 3","Beta/Gamma","2.411775e-3"
"1988","Atmospheric","Surry","Aggregated Record","Iodine","3.540900e-1"
"2019","Liquid","Khmelnitski","Khmelnitski 2","Beta/Gamma","0.000000e+0"
"2010","Atmospheric","Hope Creek","Aggregated Record","Iodine","8.479000e-2"
"2014","Atmospheric","Zaporozhye","Drain valve 1","C-14","0.000000e+0"
"1994","Atmospheric","Kozloduy","Aggregated Record","Beta/Gamma","2.000000e+0"
"2019","Atmospheric","Bruce","Bruce A 1-4","C-14","1.340000e+3"
"2017","Liquid","Arkansas One","Arkansas One 1","H-3","5.584991e+2"
"2019","Atmospheric","South Texas","South Texas 2","Noble Gases","4.407000e+0"
"2016","Liquid","Kalinin","Aggregated Record","Beta/Gamma","4.117400e-1"
"2012","Liquid","Rovno","Drain valve units 3-4","C-14","0.000000e+0"
"2010","Liquid","Chapelcross","Aggregated Record","H-3","7.410000e+0"
"2025","Liquid","Hanul","Hanul 6","Iodine","0.000000e+0"
"2020","Atmospheric","Onagawa","Aggregated Record","Beta/Gamma","0.000000e+0"
"2018","Atmospheric","Millstone","Millstone 3","H-3","2.770457e+1"
"2015","Atmospheric","Wolsong","Shin-Wolsong 2","H-3","1.111000e+3"
"2017","Liquid","Kola","Aggregated Record","Beta/Gamma","4.769000e-2"
"2014","Liquid","Millstone","Millstone 1","H-3","4.342000e-3"
"2019","Atmospheric","Temelin","Temelin-2","Iodine","2.909000e-2"
"2008","Liquid","Ikata","Aggregated Record","Other","0.000000e+0"
"2008","Liquid","Blayais","Aggregated Record","Iodine","1.570000e-2"
"2012","Atmospheric","Kori","Kori 2","Noble Gases","7.957850e+2"
"2010","Atmospheric","Dampierre","Aggregated Record","C-14","5.960000e+2"
"2014","Atmospheric","South Ukraine","South Ukraine 1-2","Alpha","0.000000e+0"
"2019","Atmospheric","Leibstadt","Aggregated Record","Beta/Gamma","4.943196e-4"
"2015","Liquid","Ringhals","Ringhals 2","H-3","1.330000e+3"
"2016","Liquid","Turkey Point","Turkey Point 3","Beta/Gamma","4.429478e-2"
"2017","Liquid","St. Lucie","St. Lucie 2","C-14","1.361000e-3"
"1997","Atmospheric","Ikata","Aggregated Record","Noble Gases","6.000000e-1"
"2012","Atmospheric","Palisades","Aggregated Record","H-3","1.436830e+1"
"2019","Liquid","Zaporozhye","Drain valve 2","H-3","0.000000e+0"
"2010","Atmospheric","Diablo Canyon","Diablo Canyon 1","Noble Gases","6.304375e-1"
"2011","Atmospheric","Pickering","Pickering 1-4","Iodine","1.500000e-2"
"2013","Liquid","Kola","Aggregated Record","H-3","1.640000e+4"
"2012","Atmospheric","Catawba","Aggregated Record","C-14","1.914000e+1"
"2012","Atmospheric","Almaraz","Aggregated Record","Alpha","3.990000e-5"
"1985","Atmospheric","Flamanville","Aggregated Record","Noble Gases","3.600000e+4"
"2013","Liquid","Zaporozhye","Drain valve 1","H-3","0.000000e+0"
"2018","Atmospheric","Shearon Harris","Aggregated Record","H-3","1.153612e+2"
"2008","Atmospheric","Bilibino","Aggregated Record","Noble Gases","3.390000e+5"
"2010","Atmospheric","Kozloduy","Kozloduy-6","Noble Gases","2.035000e+2"
"1986","Atmospheric","Borssele","Aggregated Record","Iodine","1.100000e-2"
"2007","Atmospheric","Zaporozhye","Zaporizhzhia 1 ","Iodine","6.640000e-3"
"2017","Atmospheric","Barseback","Barsebäck 2","Other","4.064531e-6"
"2014","Atmospheric","South Ukraine","Drain valve 2","H-3","0.000000e+0"
"2016","Liquid","Cattenom","Aggregated Record","H-3","1.220000e+5"
"1996","Atmospheric","Peach Bottom","Aggregated Record","Noble Gases","3.530000e+4"
"2015","Liquid","Sizewell B","Sizewell B","Other","3.000000e+0"
"2022","Atmospheric","Kalinin","Aggregated Record","Beta/Gamma","3.895000e-2"
"1985","Atmospheric","Wolf Creek","Aggregated Record","Iodine","6.000000e-5"
"2016","Liquid","Braidwood","Braidwood 2","Beta/Gamma","1.448911e-2"
"2008","Liquid","Gentilly","Gentilly 2","Particulates","1.600000e+2"
"2008","Atmospheric","Fugen ATR","Aggregated Record","H-3","3.100000e+2"
"2015","Atmospheric","St. Lucie","St. Lucie 2","Beta/Gamma","2.229000e-5"
"2017","Liquid","Tomari","Aggregated Record","Other","0.000000e+0"
"2015","Liquid","South Ukraine","South Ukraine 1-2","Other","0.000000e+0"
"2025","Atmospheric","Kursk-2","KURSK 2 AGGREGATED","Iodine","3.340000e-4"
"2018","Atmospheric","Loviisa","Loviisa 2","Noble Gases","1.610000e+3"
"2020","Liquid","Hanul","Hanul 6","Beta/Gamma","0.000000e+0"
"2020","Atmospheric","KNK II","Aggregated Record","Noble Gases","3.000000e+0"
"2016","Liquid","Hunterston","Hunterston A (A1-A2)","H-3","4.590000e-1"
"2017","Atmospheric","Susquehanna","Aggregated Record","Noble Gases","1.232992e+2"
"2016","Liquid","Genkai","Aggregated Record","H-3","2.500000e+2"
"2016","Atmospheric","Loviisa","Loviisa 2","H-3","1.210000e+2"
"2019","Atmospheric","Dampierre","Aggregated Record","H-3","1.360000e+3"
"2009","Atmospheric","North Anna","Aggregated Record","Iodine","1.104438e-3"
"2017","Liquid","Oyster Creek","Aggregated Record","H-3","2.167000e-1"
"2018","Atmospheric","Mochovce","Aggregated Record","Noble Gases","5.990300e+2"
"2007","Liquid","Hanul","Hanul 5","H-3","2.360000e+3"
"1996","Liquid","McGuire","Aggregated Record","H-3","2.380000e+4"
"1986","Atmospheric","River Bend","Aggregated Record","Beta/Gamma","8.800000e-4"
"1995","Atmospheric","Chernobyl","Aggregated Record","Iodine","5.400000e+0"
"1996","Liquid","Hanul","Hanul Aggregated Record","H-3","3.290000e+4"
"2008","Liquid","Hanul","Hanul 3","Beta/Gamma","0.000000e+0"
"2019","Atmospheric","Ignalina","Aggregated Record","Beta/Gamma","8.260000e-2"
"2024","Atmospheric","Wolsong","Wolsong 3","C-14","7.700000e+1"
"1985","Atmospheric","Phenix","Aggregated Record","Noble Gases","5.200000e+3"
"2007","Atmospheric","Vandellos","Vandellos 2","Beta/Gamma","3.381400e-3"
"1989","Atmospheric","Ranch Seco","Aggregated Record","H-3","1.390000e+3"
"2013","Liquid","Chooz","Aggregated Record","Iodine","1.060000e-2"
"2012","Atmospheric","Heysham","Heysham 2 (Unit B)","Noble Gases","8.450000e+3"
"1996","Liquid","Atucha","Aggregated Record","H-3","5.500000e+5"
"2010","Atmospheric","Farley","Farley 1","Iodine","1.081161e-3"
"2008","Atmospheric","Zaporozhye","Zaporizhzhia 6","H-3","0.000000e+0"
"2013","Atmospheric","Trawsfynydd","Aggregated Record","Particulates","1.400000e-3"
"2009","Atmospheric","Cofrentes","Aggregated Record","Beta/Gamma","4.826600e-2"
"2002","Atmospheric","Cruas","Aggregated Record","Noble Gases","3.400309e+4"
"2019","Atmospheric","Olkiluoto","Olkiluoto 1","Iodine","1.890000e-1"
"2016","Liquid","Tomari","Aggregated Record","H-3","1.300000e+2"
"2013","Liquid","Rovno","Rovno 1-2","Other","0.000000e+0"
"2012","Atmospheric","Kursk","Aggregated Record","Beta/Gamma","1.640700e-1"
"1993","Atmospheric","WPPSS 2","Aggregated Record","Beta/Gamma","8.584000e-1"
"2015","Atmospheric","Vandellos","Vandellos 2","Iodine","3.600000e-4"
"1985","Atmospheric","Vandellos","Vandellos 1","Noble Gases","4.520000e+4"
"2013","Liquid","Asco","Aggregated Record","Particulates","1.160000e+1"
"1995","Atmospheric","Donald Cook","Aggregated Record","Iodine","3.300000e-1"
"2012","Liquid","Atucha","Atucha 1","H-3","1.000000e+6"
"2010","Atmospheric","Wylfa","Aggregated Record","H-3","2.780000e+3"
"2012","Atmospheric","Lacrosse","Aggregated Record","Beta/Gamma","5.723000e-6"
"2015","Atmospheric","Doel","Aggregated Record","Other","9.280000e-2"
"1986","Atmospheric","North Anna","Aggregated Record","Iodine","7.881000e-1"
"2023","Atmospheric","Wylfa","Aggregated Record","H-3","5.200000e+1"
"2008","Liquid","Kewaunee","Aggregated Record","Beta/Gamma","2.285028e-2"
"2014","Atmospheric","Shearon Harris","Aggregated Record","Noble Gases","3.692328e-1"
"2024","Atmospheric","Angra","Angra 1","Noble Gases","3.957400e+3"
"2018","Liquid","Shearon Harris","Aggregated Record","Beta/Gamma","7.814650e-3"
"2017","Atmospheric","River Bend","Aggregated Record","Beta/Gamma","8.609821e-3"
"2017","Liquid","Shearon Harris","Aggregated Record","Beta/Gamma","6.668710e-3"
"2014","Atmospheric","Palo Verde","Palo Verde 2","Noble Gases","1.221186e+0"
"2006","Atmospheric","Cruas","Aggregated Record","C-14","5.550000e+2"
"2013","Atmospheric","Forsmark","Forsmark 2","Iodine","2.010000e-3"
"2012","Atmospheric","Perry","Aggregated Record","H-3","3.607000e+0"
"2016","Liquid","St. Lucie","St. Lucie 2","C-14","8.936000e-3"
"2012","Liquid","Kori","Shin-Kori 2","H-3","6.820000e+3"
"2007","Atmospheric","Rovno","Rovno 1-2","Beta/Gamma","1.326400e-2"
"2007","Liquid","Dungeness B","Aggregated Record","H-3","3.390000e+5"
"1995","Atmospheric","Embalse","Aggregated Record","Noble Gases","4.400000e+4"
"2013","Liquid","Smolensk","Aggregated Record","Beta/Gamma","2.339000e-2"
"2015","Atmospheric","Zaporozhye","Zaporizhzhia 5","Particulates","2.080000e-2"
"2019","Liquid","Cooper","Aggregated Record","Beta/Gamma","3.090300e-3"
"2008","Liquid","Zaporozhye","Zaporizhzhia 1 ","Beta/Gamma","0.000000e+0"
"2004","Liquid","Nogent","Aggregated Record","Iodine","2.300000e-2"
"2002","Liquid","Cap de la Hague","Aggregated Record","H-3","1.190000e+7"
"1999","Atmospheric","Paks","Aggregated Record","Noble Gases","5.300000e+4"
"2009","Atmospheric","Virgil C. Summer","Aggregated Record","Noble Gases","1.682577e+0"
"1996","Atmospheric","Kewaunee","Aggregated Record","Noble Gases","1.500000e+0"
"1989","Atmospheric","Susquehanna","Aggregated Record","Beta/Gamma","2.200000e-2"
"2010","Atmospheric","Indian Point","Indian Point 1-2","Beta/Gamma","3.590000e-6"
"2012","Atmospheric","Kori","Shin-Kori 1","Noble Gases","3.192080e+1"
"2020","Liquid","Borssele","Aggregated Record","Iodine","3.920000e-4"
"2014","Liquid","Perry","Aggregated Record","Iodine","8.390000e-7"
"2012","Atmospheric","Oyster Creek","Aggregated Record","Iodine","5.477686e-3"
"2014","Atmospheric","Pickering","Pickering 5-8","H-3","2.800000e+5"
"2008","Atmospheric","Wolsong","Wolsong 2","Particulates","0.000000e+0"
"2018","Atmospheric","Rovno","Drain valve units 3-4","Beta/Gamma","2.197000e-3"
"2016","Liquid","Sizewell A","Sizewell A (AA-AB)","Other","5.720000e+1"
"2016","Atmospheric","Catawba","Aggregated Record","C-14","2.098000e+1"
"1986","Atmospheric","Bugey","Bugey 2-5","Beta/Gamma","1.400000e+0"
"2023","Atmospheric","Fukushima-Daiichi","Aggregated Record","H-3","4.900000e+1"
"2020","Atmospheric","R.E. Ginna","Aggregated Record","Noble Gases","7.722800e-1"
"2003","Atmospheric","Belleville","Aggregated Record","Iodine","1.719000e-1"
"2011","Atmospheric","Forsmark","Forsmark 1","Beta/Gamma","2.493400e-1"
"2015","Liquid","Zaporozhye","Zaporizhzhia 6","H-3","0.000000e+0"
"2018","Atmospheric","Gentilly","Gentilly 2","H-3","9.170000e+4"
"2023","Atmospheric","Hinkley Point","Hinkley Point B (Unit A)","H-3","1.720000e+1"
"2015","Atmospheric","Ignalina","Aggregated Record","H-3","3.110000e+0"
"2006","Atmospheric","Penly","Aggregated Record","Iodine","6.200000e-2"
"2014","Atmospheric","Pickering","Pickering 1-4","Iodine","1.000000e-2"
"2014","Liquid","Dungeness B","Aggregated Record","Other","2.060000e+0"
"2008","Liquid","Kozloduy","Auxiliary building","H-3","1.840000e+4"
"2014","Atmospheric","Kori","Shin-Kori 1","H-3","2.440000e+2"
"2020","Liquid","Beloyarsky","Aggregated Record","H-3","2.220000e+2"
"2013","Atmospheric","Ringhals","Ringhals 4","C-14","2.204000e+2"
"2011","Atmospheric","Comanche Peak","Aggregated Record","H-3","4.821610e+1"
"2019","Atmospheric","Flamanville","Aggregated Record","Noble Gases","5.639460e+2"
"2009","Liquid","Hanbit","Hanbit 4","H-3","1.330000e+4"
"1988","Atmospheric","Browns Ferry","Aggregated Record","Beta/Gamma","1.065120e+0"
"2014","Atmospheric","Ringhals","Ringhals 2","Alpha","1.080000e-5"
"2020","Atmospheric","Takahama","Aggregated Record","H-3","7.200000e+3"
"2012","Liquid","Oskarshamn","Oskarshamn 1-2","Beta/Gamma","2.789046e-1"
"2011","Liquid","Zaporozhye","Zaporizhzhia 5","C-14","0.000000e+0"
"2010","Atmospheric","Almaraz","Aggregated Record","Other","1.076110e-4"
"2014","Atmospheric","Flamanville","Aggregated Record","H-3","1.310000e+3"
"2003","Atmospheric","Civaux","Aggregated Record","C-14","4.780000e+2"
"2015","Atmospheric","South Texas","South Texas 2","C-14","7.294510e+0"
"2025","Liquid","Hanul","Shin-Hanul 2","H-3","1.915900e+4"
"2024","Liquid","Kori","Kori 4","H-3","1.855800e+4"
"2008","Atmospheric","Forsmark","Forsmark 2","Beta/Gamma","5.625000e-2"
"2011","Liquid","Civaux","Aggregated Record","C-14","3.450000e+1"
"2015","Atmospheric","Kori","Shin-Kori 2","C-14","2.070000e+2"
"1986","Atmospheric","Shimane","Aggregated Record","Iodine","3.500000e-2"
"2009","Atmospheric","Rovno","Drain valve units 3-4","C-14","0.000000e+0"
"2009","Atmospheric","Salem","Salem 2","Noble Gases","8.050586e-1"
"2023","Atmospheric","Sizewell A","Aggregated record","H-3","1.890000e+1"
"2012","Liquid","Millstone","Millstone 2","Iodine","3.277000e-5"
"2020","Liquid","Shimane","Aggregated Record","C-14","0.000000e+0"
"2015","Liquid","Wylfa","Aggregated Record","H-3","1.330000e+3"
"2020","Atmospheric","Quad Cities","Aggregated Record","Noble Gases","1.135676e+1"
"2006","Atmospheric","Cattenom","Aggregated Record","Noble Gases","1.834488e+3"
"2022","Atmospheric","Onagawa","Aggregated Record","H-3","1.000000e+2"
"2008","Liquid","Darlington","Aggregated Record","Particulates","4.500000e+0"
"2016","Atmospheric","Embalse","Aggregated Record","Iodine","4.200000e-9"
"2018","Atmospheric","South Texas","South Texas 2","Iodine","5.408410e-6"
"2022","Liquid","Sizewell A","Aggregated record","H-3","4.900000e-2"
"2010","Liquid","Oskarshamn","Oskarshamn 1-2","Other","1.021726e-2"
"2015","Atmospheric","Dungeness A","Dungeness A (1-2)","C-14","3.530000e-1"
"2012","Atmospheric","Belleville","Aggregated Record","C-14","4.610000e+2"
"2010","Atmospheric","Embalse","Aggregated Record","Noble Gases","4.100000e+4"
"1992","Atmospheric","Oyster Creek","Aggregated Record","Noble Gases","1.517000e+4"
"1994","Atmospheric","Nine Mile Point","Aggregated Record","H-3","4.320000e+3"
"2020","Atmospheric","Sendai","Aggregated Record","Iodine","0.000000e+0"
"2017","Atmospheric","Lasalle","Aggregated Record","C-14","3.380000e+1"
"2006","Atmospheric","St. Alban","Aggregated Record","Beta/Gamma","7.722000e-3"
"2019","Atmospheric","Zaporozhye","Zaporizhzhia 2","Alpha","0.000000e+0"
"2002","Liquid","Dampierre","Aggregated Record","Beta/Gamma","2.258700e+0"
"2022","Atmospheric","Hanbit","Hanbit 6","Noble Gases","4.910000e+0"
"2007","Atmospheric","Khmelnitski","Khmelnitski 2","Beta/Gamma","9.425800e-4"
"2010","Atmospheric","Zaporozhye","Drain valve 2","Beta/Gamma","2.791000e-3"
"2020","Liquid","Fessenheim","Aggregated Record","H-3","1.600000e+4"
"1986","Atmospheric","Biblis","Aggregated Record","Beta/Gamma","1.000000e-1"
"2012","Liquid","Zaporozhye","Zaporizhzhia 5","H-3","0.000000e+0"
"2024","Atmospheric","Pickering","Aggregated Record","Alpha","1.600000e-5"
"1997","Atmospheric","Pickering","Pickering 5-8","Iodine","9.900000e-2"
"2018","Atmospheric","Enrico Fermi","Enrico Fermi 2","Iodine","9.454900e-2"
"2011","Atmospheric","Hope Creek","Aggregated Record","Noble Gases","4.151223e-1"
"2018","Liquid","Hanbit","Hanbit 5","H-3","1.090000e+4"
"2007","Liquid","Cofrentes","Aggregated Record","Iodine","3.214558e-3"
"2024","Liquid","Hanul","Hanul 1","Beta/Gamma","6.560000e-5"
"2009","Atmospheric","South Ukraine","South Ukraine 3","Alpha","0.000000e+0"
"2011","Liquid","South Ukraine","Drain valve 2","Other","0.000000e+0"
"2016","Liquid","Hanul","Hanul 3","H-3","1.240000e+4"
"2021","Atmospheric","Sendai","Aggregated Record","Noble Gases","4.300000e+0"
"2016","Atmospheric","Temelin","Auxiliary Building ","H-3","1.568600e+2"
"2017","Atmospheric","Kori","Kori 1","H-3","1.610000e+3"
"2005","Liquid","Cruas","Aggregated Record","H-3","4.580000e+4"
"2015","Liquid","Sizewell A","Sizewell A (AA-AB)","H-3","1.980000e+1"
"1985","Atmospheric","Brunsbuettel","Aggregated Record","C-14","2.600000e+2"
"2008","Liquid","South Ukraine","South Ukraine 3","H-3","0.000000e+0"
"1985","Atmospheric","Muehleberg","Aggregated Record","Iodine","5.600000e-2"
"2014","Liquid","Pickering","Pickering 5-8","C-14","1.500000e+0"
"1995","Atmospheric","Krsko","Krsko NPP","Iodine","7.500000e-1"
"2014","Atmospheric","Byron","Byron 2","Iodine","4.137000e-6"
"1991","Atmospheric","Leningrad","Aggregated Record","Noble Gases","1.539000e+6"
"1988","Atmospheric","Monticello","Aggregated Record","Beta/Gamma","1.328300e+0"
"2000","Atmospheric","Dukovany","Aggregated Record","C-14","3.410000e+2"
"2011","Atmospheric","Shearon Harris","Aggregated Record","C-14","9.080000e+0"
"2015","Liquid","Atucha","Atucha 1","Iodine","1.220000e+0"
"2020","Atmospheric","Hanbit","Hanbit 4","Alpha","0.000000e+0"
"2014","Atmospheric","Balakovo","Aggregated Record","Beta/Gamma","1.239100e-2"
"2015","Liquid","South Ukraine","South Ukraine 3","Beta/Gamma","0.000000e+0"
"1988","Liquid","Nine Mile Point","Aggregated Record","H-3","2.930400e+2"
"1996","Atmospheric","St. Laurent","St. Laurent A1-A2","Beta/Gamma","1.000000e-3"
"2008","Atmospheric","Palo Verde","Palo Verde 3","Iodine","8.620000e-6"
"2002","Liquid","Ignalina","Aggregated Record","Beta/Gamma","0.000000e+0"
"2003","Liquid","Belleville","Aggregated Record","H-3","4.090000e+4"
"2012","Liquid","St. Lucie","St. Lucie 1","H-3","1.111000e+2"
"1986","Atmospheric","Asco","Aggregated Record","Beta/Gamma","2.250000e+0"
"2014","Atmospheric","Virgil C. Summer","Aggregated Record","C-14","8.160000e+0"
"2016","Liquid","Hope Creek","Aggregated Record","Iodine","6.710000e-8"
"2016","Atmospheric","Almaraz","Aggregated Record","Alpha","1.700000e-5"
"1985","Atmospheric","Callaway","Aggregated Record","Beta/Gamma","5.900000e-4"
"2014","Atmospheric","Barseback","Barsebäck 1","Alpha","2.703677e-6"
"2018","Liquid","Khmelnitski","Drain valve","Beta/Gamma","0.000000e+0"
"2011","Atmospheric","Palo Verde","Palo Verde 3","Beta/Gamma","7.080000e-6"
"2014","Liquid","Hinkley Point","Hinkley Point B (BA-BB)","Beta/Gamma","4.422220e+2"
"2020","Atmospheric","Turkey Point","Turkey Point 3","Beta/Gamma","1.442225e+1"
"2018","Atmospheric","Hanul","Hanul 5","Noble Gases","5.820000e+0"
"2007","Atmospheric","Asco","Aggregated Record","H-3","1.576000e+3"
"2024","Atmospheric","Wolsong","Wolsong 4","Noble Gases","2.735000e+3"
"1990","Atmospheric","Gentilly","Aggregated Record","H-3","2.270000e+5"
"2025","Atmospheric","Smolensk","Aggregated Record","Beta/Gamma","3.155000e-1"
"1997","Atmospheric","Muelheim-Kaerlich","Aggregated Record","H-3","4.000000e+1"
"2011","Atmospheric","Byron","Byron 2","H-3","4.413830e+1"
"2012","Liquid","Wolsong","Wolsong 2","H-3","6.130000e+3"
"2007","Atmospheric","Ringhals","Ringhals 2","C-14","2.941000e+2"
"2009","Liquid","Loviisa","Loviisa 2","Particulates","1.514600e-1"
"2017","Liquid","Kalinin","Aggregated Record","H-3","9.100000e+0"
"2015","Atmospheric","Bohunice","Main manufacturing block","H-3","3.975781e+0"
"2014","Atmospheric","Temelin","Auxiliary Building ","C-14","6.705700e+0"
"1986","Atmospheric","San Onofre","Aggregated Record","Beta/Gamma","1.113700e-1"
"2016","Liquid","Ringhals","Ringhals 3","Alpha","6.880000e-5"
"2018","Atmospheric","Oyster Creek","Aggregated Record","Beta/Gamma","1.159785e-2"
"2018","Atmospheric","Olkiluoto","Olkiluoto 1","Beta/Gamma","1.171000e-2"
"1986","Atmospheric","Vermont Yankee","Aggregated Record","Iodine","2.550000e-3"
"2009","Atmospheric","Calvert Cliffs","Calvert Cliffs 1","Beta/Gamma","9.750000e-9"
"2015","Atmospheric","Bohunice","NPP V2/SEAS","Beta/Gamma","1.439300e-3"
"2011","Atmospheric","Fitzpatrick","Aggregated Record","Beta/Gamma","5.513200e-5"
"2012","Liquid","South Ukraine","Drain valve 2","Particulates","0.000000e+0"
"2007","Atmospheric","Halden","OECD Halden reactor project","Noble Gases","1.263500e+4"
"2015","Liquid","Tsuruga","Tsuruga 1","Other","0.000000e+0"
"2009","Liquid","Cofrentes","Aggregated Record","Particulates","1.828200e-1"
"2022","Liquid","Sizewell B","Sizewell B","Beta/Gamma","1.000000e-1"
"2003","Atmospheric","Bugey","Aggregated Record","Iodine","5.870000e-2"
"1988","Atmospheric","Turkey Point","Aggregated Record","Iodine","2.867500e-1"
"2011","Atmospheric","Khmelnitski","Drain valve","Alpha","0.000000e+0"
"1985","Atmospheric","R.E. Ginna","Aggregated Record","Noble Gases","1.500000e+4"
"2019","Liquid","Cofrentes","Aggregated Record","H-3","4.940000e+2"
"2020","Atmospheric","Kori","Kori 4","Particulates","0.000000e+0"
"2016","Liquid","Tricastin","Aggregated Record","C-14","3.720000e+1"
"2014","Atmospheric","Tihange","Tihange 1","H-3","2.960000e+3"
"2023","Atmospheric","Hanul","Hanul 4","C-14","5.250000e+1"
"2014","Atmospheric","Cruas","Aggregated Record","Noble Gases","8.571360e+2"
"1985","Liquid","Tarapur","Aggregated Record","Beta/Gamma","6.158000e+2"
"2003","Atmospheric","Tricastin","Aggregated Record","Beta/Gamma","2.442000e-2"
"2016","Atmospheric","Nogent","Aggregated Record","C-14","4.880000e+2"
"1996","Atmospheric","Diablo Canyon","Aggregated Record","Beta/Gamma","1.100000e-2"
"2016","Liquid","Tihange","Tihange 2","H-3","3.253570e+4"
"2024","Liquid","Leibstadt","Aggregated Record","Alpha","4.700000e-4"
"1985","Atmospheric","Paks","Aggregated Record","H-3","7.600000e+2"
"2003","Atmospheric","Blayais","Aggregated Record","H-3","3.730000e+2"
"1988","Atmospheric","Millstone","Millstone 2","Noble Gases","2.662000e+4"
"2019","Liquid","Dungeness B","Aggregated Record","Beta/Gamma","2.503000e+0"
"2017","Atmospheric","Bilibino","Aggregated Record","Noble Gases","5.160000e+5"
"2019","Atmospheric","Temelin","Temelin-1","Noble Gases","2.157687e+3"
"2020","Atmospheric","Leningrad","Aggregated Record","Iodine","2.600000e-1"
"1986","Atmospheric","Hunterston","Hunterston B (B1-B2)","H-3","8.200000e+3"
"2010","Atmospheric","Palo Verde","Palo Verde 1","Iodine","1.469000e-4"
"2023","Atmospheric","Hanul","Hanul 2","Noble Gases","7.340904e+0"
"2017","Liquid","Khmelnitski","Khmelnitski 1","C-14","0.000000e+0"
"2020","Atmospheric","Trillo","Aggregated Record","Particulates","0.000000e+0"
"2019","Atmospheric","Temelin","Temelin-2","Beta/Gamma","2.570000e-4"
"2017","Atmospheric","Sizewell B","Sizewell B","Particulates","6.000000e-3"
"2015","Liquid","Millstone","Millstone 2","H-3","5.305271e+2"
"1986","Atmospheric","Point Beach","Aggregated Record","Iodine","4.107000e-2"
"2015","Liquid","Palisades","Aggregated Record","H-3","5.299361e+2"
"2017","Liquid","Loviisa","Loviisa 2","H-3","1.400000e+4"
"2017","Atmospheric","Civaux","Aggregated Record","C-14","2.620000e+2"
"2020","Liquid","Arkansas One","Arkansas One 1","H-3","4.359000e+2"
"2019","Atmospheric","Lasalle","Aggregated Record","Iodine","6.326300e-2"
"2020","Liquid","Zaporozhye","Aggregated Record","Other","0.000000e+0"
"2010","Liquid","Fessenheim","Aggregated Record","H-3","3.090000e+4"
"2016","Atmospheric","Wolsong","Shin-Wolsong 2","Beta/Gamma","2.783000e-4"
